/B X,/B Y,/C X,/C Y,/A X,/A Y
0,0,0,0,0,0
1.5e-11,0,1.5e-11,0,1.5e-11,0
4.5e-11,0,4.5e-11,0,4.5e-11,0
1.05e-10,0,1.05e-10,0,1.05e-10,0
2.25e-10,0,2.25e-10,0,2.25e-10,0
4.65e-10,0,4.65e-10,0,4.65e-10,0
7.649999999999999e-10,0,7.649999999999999e-10,0,7.649999999999999e-10,0
1e-09,0,1e-09,0,1e-09,0
1.1e-09,0,1.1e-09,1,1.1e-09,0
1.297202315331336e-09,0,1.297202315331336e-09,1,1.297202315331336e-09,0
1.398601157665668e-09,0,1.398601157665668e-09,1,1.398601157665668e-09,0
1.5e-09,0,1.5e-09,1,1.5e-09,0
1.6e-09,0,1.6e-09,0,1.6e-09,0
1.730029633610233e-09,0,1.730029633610233e-09,0,1.730029633610233e-09,0
1.858365955536199e-09,0,1.858365955536199e-09,0,1.858365955536199e-09,0
2e-09,0,2e-09,0,2e-09,0
2.1e-09,0.5000000000000002,2.1e-09,1,2.1e-09,0
2.2e-09,1,2.2e-09,1,2.2e-09,0
2.335052577824536e-09,1,2.335052577824536e-09,1,2.335052577824536e-09,0
2.417526288912268e-09,1,2.417526288912268e-09,1,2.417526288912268e-09,0
2.5e-09,1,2.5e-09,1,2.5e-09,0
2.6e-09,1,2.6e-09,0,2.6e-09,0
2.720344385370825e-09,1,2.720344385370825e-09,0,2.720344385370825e-09,0
2.846311880184396e-09,1,2.846311880184396e-09,0,2.846311880184396e-09,0
3e-09,1,3e-09,0,3e-09,0
3.1e-09,0.4999999999999977,3.1e-09,1,3.1e-09,0.200000000000001
3.200000000000001e-09,0,3.200000000000001e-09,1,3.200000000000001e-09,0.4000000000000011
3.336622634270807e-09,0,3.336622634270807e-09,1,3.336622634270807e-09,0.6732452685416149
3.418311317135404e-09,0,3.418311317135404e-09,1,3.418311317135404e-09,0.8366226342708074
3.5e-09,0,3.5e-09,1,3.5e-09,0.9999999999999998
3.6e-09,0,3.6e-09,0,3.6e-09,1
3.719933711655895e-09,0,3.719933711655895e-09,0,3.719933711655895e-09,1
3.845800321960708e-09,0,3.845800321960708e-09,0,3.845800321960708e-09,1
4e-09,0,4e-09,0,4e-09,1
4.1e-09,0.5000000000000002,4.1e-09,1,4.1e-09,1
4.2e-09,1,4.2e-09,1,4.2e-09,1
4.336688470770822e-09,1,4.336688470770822e-09,1,4.336688470770822e-09,1
4.418344235385411e-09,1,4.418344235385411e-09,1,4.418344235385411e-09,1
4.500000000000001e-09,1,4.500000000000001e-09,1,4.500000000000001e-09,1
